25.10.2008,ППБР
Часы,Потребление,Сумма ТЭС,СНТЭЦ2,АлТЭЦ-3,РомТЭЦ-4,Сальдо,Терр.,
1,318,172,167,0,5,146,318,
2,312,125,120,0,5,187,312,
3,310,125,120,0,5,185,310,
4,301,125,120,0,5,176,301,
5,313,125,120,0,5,188,313,
6,321,125,120,0,5,196,321,
7,337,125,120,0,5,212,337,
8,351,172,167,0,5,179,351,
9,380,172,167,0,5,208,380,
10,386,172,167,0,5,214,386,
11,381,172,167,0,5,209,381,
12,380,172,167,0,5,208,380,
13,370,172,167,0,5,198,370,
14,366,172,167,0,5,194,366,
15,360,172,167,0,5,188,360,
16,349,172,167,0,5,177,349,
17,359,172,167,0,5,187,359,
18,373,172,167,0,5,201,373,
19,400,172,167,0,5,228,400,
20,400,172,167,0,5,228,400,
21,398,172,167,0,5,226,398,
22,376,172,167,0,5,204,376,
23,353,172,167,0,5,181,353,
24,327,172,167,0,5,155,327,
Сумма,8521,3846,3726,0,120,4675,8521,

