10.01.2009,ППБР
Часы,Потребление,Сумма ТЭС,СНТЭЦ2,АлТЭЦ-3,РомТЭЦ-4,Сальдо,Терр.,
1,358,265,260,0,5,93,358,
2,357,265,260,0,5,92,357,
3,346,265,260,0,5,81,346,
4,350,265,260,0,5,85,350,
5,356,265,260,0,5,91,356,
6,369,265,260,0,5,104,369,
7,377,265,260,0,5,112,377,
8,392,265,260,0,5,127,392,
9,406,265,260,0,5,141,406,
10,416,265,260,0,5,151,416,
d11,423,265,260,0,5,158,423,
12,423,265,260,0,5,158,423,
13,410,265,260,0,5,145,410,
14,414,265,260,0,5,149,414,
15,411,265,260,0,5,146,411,
16,427,265,260,0,5,162,427,
17,461,265,260,0,5,196,461,
18,478,265,260,0,5,213,478,
19,472,265,260,0,5,207,472,
20,468,265,260,0,5,203,468,
21,457,265,260,0,5,192,457,
22,445,265,260,0,5,180,445,
23,416,265,260,0,5,151,416,
24,380,265,260,0,5,115,380,
Сумма,9812,6360,6240,0,120,3452,9812,

